max_depth,cv_acc_mean,cv_acc_std
1,0.7498173311709723,0.0042640433674587695
2,0.7633082696898139,0.004701041497074125
3,0.861933082443241,0.0021365892826373007
4,0.8739627367233174,0.0033894411461623747
5,0.8905459087943207,0.0007225266167484251
6,0.8995224718699435,0.002029077159201517
7,0.9158447023332771,0.0017675563851009494
8,0.9211158116732907,0.0024444171387638606
9,0.9263869380372677,0.0022319144197559607
10,0.9307969370076584,0.0011841105109207935
11,0.9330802250186616,0.0006549968490982122
12,0.9358592882948267,0.0009272924064960444
13,0.9378424727728945,0.0016268976149560633
14,0.9404780768123949,0.0014883746300129327
15,0.941169588500844,0.0012630387324696736
16,0.9419654681501394,0.0019885873783821624
17,0.9419393942478889,0.0018471766538531039
18,0.942474333991911,0.002053119079565123
19,0.9420437715719151,0.0022566357360839584
20,0.9415349159445215,0.001440062414684025
21,0.9411434950210357,0.0013109223370813498
22,0.9407129385594267,0.002034507348340947
23,0.9402040820808351,0.0015125101068307874
24,0.9395386817473559,0.0018300875798233085
25,0.9382339354050908,0.001728314190810081
26,0.9381295751050276,0.002535719015961247
27,0.9378816712996816,0.0023132699437072397
28,0.9384557576474026,0.002543289912801912
29,0.9389254556055213,0.002180307583460146
30,0.9377381448183618,0.0024649396162429137
