criterion,chosen_max_depth,node_count,tree_depth,train_accuracy,train_f1,train_balanced_accuracy,train_auc,test_accuracy,test_f1,test_balanced_accuracy,test_auc,confusion_matrix,cv_best_mean,cv_best_std,cv_threshold_one_std
gini,14,1835,14,0.9618495903136579,0.9613738441215324,0.9618495903136579,0.9921604343409516,0.9428034651915249,0.9421452702702703,0.9428034651915249,0.9697711199782308,"[[9142, 439], [657, 8924]]",0.942474333991911,0.002053119079565123,0.940421214912346
entropy,15,2401,15,0.9655419863263921,0.9653489379009932,0.9655419863263921,0.9959259168150574,0.9421250391399645,0.9420191352538296,0.9421250391399645,0.9697763272017044,"[[9044, 537], [572, 9009]]",0.9421481497471398,0.0028085688809432185,0.9393395808661966
