criterion,chosen_max_depth,score
Best_Test_Accuracy,17,0.945360609539714
One_Std_Rule,14,0.9404780768123949
Gap_Rule_a=0.5,14,0.9332804026304584
Max_Test_F1,17,0.9449960598896769
Max_Test_BalancedAcc,17,0.945360609539714
Max_Test_AUC,10,0.9739555706838591
Min_Size_Acc>=0.93,10,0.9332533138503287
