max_depth,train_accuracy,test_accuracy,generalization_gap,cv_mean_accuracy,cv_std
1,0.7498173372997234,0.7560275545350172,0.0,0.7498173311709723,0.0042640433674587695
2,0.7620165962110537,0.7632293080054274,0.0,0.7633082696898139,0.004701041497074125
3,0.8624158446845154,0.8609748460494729,0.0014409986350424342,0.861933082443241,0.0021365892826373007
4,0.8739888314806117,0.8728733952614549,0.0011154362191567735,0.8739627367233174,0.0033894411461623747
5,0.8914200720212933,0.8897818599311137,0.0016382120901795583,0.8905459087943207,0.0007225266167484251
6,0.9003835916705809,0.8996973176077654,0.0006862740628155173,0.8995224718699435,0.002029077159201517
7,0.9184541516622305,0.9156664231291097,0.0027877285331208146,0.9158447023332771,0.0017675563851009494
8,0.924625541464433,0.9217722575931531,0.0028532838712799213,0.9211158116732907,0.0024444171387638606
9,0.932806220969678,0.9276693455797933,0.005136875389884721,0.9263869380372677,0.0022319144197559607
10,0.9383121966494442,0.9332533138503287,0.005058882799115483,0.9307969370076584,0.0011841105109207935
11,0.9445488231303167,0.9352885920050099,0.009260231125306828,0.9330802250186616,0.0006549968490982122
12,0.9495590000521893,0.9360713912952718,0.013487608756917457,0.9358592882948267,0.0009272924064960444
13,0.9553650644538385,0.938628535643461,0.01673652881037746,0.9378424727728945,0.0016268976149560633
14,0.9618495903136579,0.9428034651915249,0.019046125122132995,0.9404780768123949,0.0014883746300129327
15,0.9674990866864986,0.9433253313850328,0.024173755301465816,0.941169588500844,0.0012630387324696736
16,0.9728354470017222,0.9438993841978917,0.028936062803830542,0.9419654681501394,0.0019885873783821624
17,0.9774411565158395,0.945360609539714,0.0320805469761255,0.9419393942478889,0.0018471766538531039
18,0.9819555346798183,0.9440037574365933,0.03795177724322507,0.942474333991911,0.002053119079565123
19,0.985465267992276,0.9444734370107505,0.04099183098152548,0.9420437715719151,0.0022566357360839584
20,0.9885966285684463,0.9430643982882789,0.045532230280167396,0.9415349159445215,0.001440062414684025
21,0.9916105631230103,0.941237866611001,0.050372696512009374,0.9411434950210357,0.0013109223370813498
22,0.9935937581545848,0.9423859722367185,0.051207785917866344,0.9407129385594267,0.002034507348340947
23,0.995446479828819,0.9409247468948961,0.05452173293392282,0.9402040820808351,0.0015125101068307874
24,0.9966859767235531,0.9414466130884042,0.05523936363514892,0.9395386817473559,0.0018300875798233085
25,0.9975862428892021,0.9396200814111262,0.05796616147807587,0.9382339354050908,0.001728314190810081
26,0.9983299410260424,0.9402985074626866,0.05803143356335583,0.9381295751050276,0.002535719015961247
27,0.998799645112468,0.9406116271787913,0.05818801793367667,0.9378816712996816,0.0023132699437072397
28,0.9990736391628829,0.9400375743659326,0.05903606479695034,0.9384557576474026,0.002543289912801912
29,0.999373727884766,0.9408203736561945,0.05855335422857144,0.9389254556055213,0.002180307583460146
30,0.9995172485778404,0.9398288278885294,0.05968842068931102,0.9377381448183618,0.0024649396162429137
