max_depth,train_accuracy,test_accuracy
1,0.7498173372997234,0.7560275545350172
2,0.7620165962110537,0.7632293080054274
3,0.8624158446845154,0.8609748460494729
4,0.8739888314806117,0.8728733952614549
5,0.8914200720212933,0.8897818599311137
6,0.9003835916705809,0.8996973176077654
7,0.9184541516622305,0.9156664231291097
8,0.924625541464433,0.9217722575931531
9,0.932806220969678,0.9276693455797933
10,0.9383121966494442,0.9332533138503287
11,0.9445488231303167,0.9352885920050099
12,0.9495590000521893,0.9360713912952718
13,0.9553650644538385,0.938628535643461
14,0.9618495903136579,0.9428034651915249
15,0.9674990866864986,0.9433253313850328
16,0.9728354470017222,0.9438993841978917
17,0.9774411565158395,0.945360609539714
18,0.9819555346798183,0.9440037574365933
19,0.985465267992276,0.9444734370107505
20,0.9885966285684463,0.9430643982882789
21,0.9916105631230103,0.941237866611001
22,0.9935937581545848,0.9423859722367185
23,0.995446479828819,0.9409247468948961
24,0.9966859767235531,0.9414466130884042
25,0.9975862428892021,0.9396200814111262
26,0.9983299410260424,0.9402985074626866
27,0.998799645112468,0.9406116271787913
28,0.9990736391628829,0.9400375743659326
29,0.999373727884766,0.9408203736561945
30,0.9995172485778404,0.9398288278885294
